[4/5/2024, 8:54:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:54:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:54:57 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getKeyboardLayout
[4/5/2024, 8:54:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setUrl
[4/5/2024, 8:54:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTabPreviewData
[4/5/2024, 8:54:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setUrl
[4/5/2024, 8:54:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setIsLibrary
[4/5/2024, 8:54:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setIsTeamTemplate
[4/5/2024, 8:54:59 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:55:01 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:55:01 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setTheme
[4/5/2024, 8:55:02 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setRealtimeToken
[4/5/2024, 8:55:02 PM]:[WARN] - [From web content: 10],[desktop] Unhandled message,setRealtimeToken
[4/5/2024, 8:55:04 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTheme
[4/5/2024, 8:55:08 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[4/5/2024, 8:55:08 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,spellingGetLanguages
[4/5/2024, 8:55:08 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:55:08 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setTheme
[4/5/2024, 8:55:08 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setLocales
[4/5/2024, 8:55:08 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setEditorType
[4/5/2024, 8:55:08 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:55:08 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:55:08 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setTheme
[4/5/2024, 8:55:08 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,getKeyboardLayout
[4/5/2024, 8:55:09 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:55:10 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:55:10 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:55:10 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,getKeyboardLayout
[4/5/2024, 8:55:11 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setUrl
[4/5/2024, 8:55:12 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setUrl
[4/5/2024, 8:55:12 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setTabPreviewData
[4/5/2024, 8:55:12 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setIsLibrary
[4/5/2024, 8:55:12 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setIsTeamTemplate
[4/5/2024, 8:55:12 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:55:12 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setTabPreviewData
[4/5/2024, 8:55:14 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:55:14 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setTheme
[4/5/2024, 8:55:14 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setRealtimeToken
[4/5/2024, 8:55:14 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setRealtimeToken
[4/5/2024, 9:03:07 PM]:[WARN] - [From web content: 11],[desktop] Unhandled message,setTabPreviewData
